Year,Employment status,"Walk [notes 4, 5]",Pedal cycle [note 6],Car or van driver,Car or van passenger,Motorcycle,Other private transport [note 7],Bus in London,Other local bus,Non-local bus,London Underground,Surface rail,Taxi or minicab,Other public transport [note 8],All modes,Unweighted sample size: individuals in employment,Unweighted sample size: trips (thousands)
2002,Full-time employment,28.90277462,16.4315736,226.9921727,34.18123558,5.338013471,1.700192253,9.564349714,19.99519534,0.448719467,14.00853251,18.32609717,1.762429162,1.255956553,378.9072422,4277,30.049
2002,Part-time employment,51.75445462,8.571655523,125.2532532,37.37483322,0.748077675,1.046461077,6.417619007,20.64477978,0,1.696699886,2.774127168,2.718004872,0.847523712,259.8474897,1467,6.991
2002,Self-employment,10.90487083,4.198033665,176.494536,19.11507916,3.124112691,2.362107555,1.569186417,1.02205297,0,4.373533372,5.835553262,1.074638209,0,230.0737041,835,3.551
2002,All employed people,31.59181965,13.26995398,199.1617707,33.0333324,4.090254378,1.641116043,7.922553391,17.83036321,0.298536626,10.21283349,13.49264031,1.882744377,1.016366053,335.4442846,6579,40.591
2003,Full-time employment,29.74273379,13.69583066,228.4095781,35.11584525,6.758780846,2.016274521,6.680957261,19.50375875,0.081413899,11.32569504,18.29902905,2.460578079,2.686003574,376.7764788,5016,34.239
2003,Part-time employment,52.81982234,11.60996548,117.769836,33.25623366,1.115252101,1.563222512,6.869513207,22.66035676,0,3.286923346,2.586013623,3.305569777,0.958568208,257.801277,1757,8.141
2003,Self-employment,7.918027399,3.370236677,182.9424506,14.94015082,3.534117035,0,3.574335897,2.551849337,0,4.201587539,11.21660966,1.535623053,3.930536013,239.715524,891,3.844
2003,All employed people,32.35134736,12.04990807,198.691966,32.39060456,5.139117778,1.684744159,6.366508083,18.25914292,0.054047457,8.728421679,14.00685891,2.541668396,2.446114581,334.71045,7664,46.224
2004,Full-time employment,40.3573325,15.09694019,223.8774267,32.64248438,4.791567296,1.851390824,6.946870346,20.81362042,0,11.41332356,21.65793748,2.728030903,1.821257986,383.9981825,4937,34.025
2004,Part-time employment,68.35824818,10.7548868,115.4737884,34.42412691,0.572716452,2.598936031,5.72335037,19.26610546,0,2.216309745,6.846943765,2.994890726,0.685941258,269.9162441,1668,7.952
